angulo_braco_direito,y_punho_direito,y_ombro_direito,angulo_braco_esquerdo,y_punho_esquerdo,y_ombro_esquerdo,rotulo
166,0.833571195602417,0.5504461526870728,170,0.8290925621986389,0.5471500158309937,correto
166,0.8344852924346924,0.5504697561264038,170,0.8289912343025208,0.5472107529640198,correto
166,0.83514803647995,0.5505373477935791,170,0.8272050619125366,0.5473549365997314,correto
166,0.8344417214393616,0.5505422353744507,170,0.8256441354751587,0.5474948883056641,correto
166,0.8340092301368713,0.5508916974067688,171,0.8256463408470154,0.5484364032745361,correto
165,0.8338759541511536,0.5513228178024292,171,0.8255910277366638,0.5502864122390747,correto
165,0.8336566686630249,0.5519555807113647,171,0.8262576460838318,0.5536162853240967,correto
163,0.8336154222488403,0.55254065990448,170,0.8262671232223511,0.5579960942268372,correto
162,0.8323516845703125,0.5528494119644165,170,0.8277535438537598,0.560113251209259,correto
162,0.8310574293136597,0.5533485412597656,169,0.8291193842887878,0.5609344244003296,correto
161,0.8303162455558777,0.5534446239471436,168,0.829612135887146,0.5610206127166748,correto
160,0.8291192650794983,0.5537946820259094,165,0.8319865465164185,0.5622984766960144,correto
159,0.8276639580726624,0.5542169213294983,164,0.8345407843589783,0.5643109083175659,correto
157,0.8281263113021851,0.5547680258750916,162,0.8371009826660156,0.5649240016937256,correto
157,0.8282809853553772,0.5551099181175232,161,0.8381047248840332,0.5652450323104858,correto
155,0.8287003636360168,0.5559543967247009,161,0.8384556770324707,0.5655712485313416,correto
155,0.8294009566307068,0.5561369061470032,160,0.8388238549232483,0.5653992891311646,correto
154,0.8310142159461975,0.5563648343086243,159,0.8387033343315125,0.565678596496582,correto
155,0.8320665955543518,0.5566880106925964,156,0.8391814827919006,0.5674975514411926,correto
155,0.8326700329780579,0.5570319294929504,155,0.8433175086975098,0.5709835886955261,correto
156,0.8325452208518982,0.5573546886444092,155,0.8488335609436035,0.5734228491783142,correto
157,0.8313739895820618,0.5576460361480713,156,0.8491314649581909,0.573399007320404,correto
160,0.8296151757240295,0.5585744380950928,157,0.8484973311424255,0.573293924331665,correto
162,0.824326753616333,0.559406042098999,158,0.8471248745918274,0.5730844140052795,correto
167,0.8123145699501038,0.5600726008415222,162,0.8430203199386597,0.5730262398719788,correto
172,0.7955309748649597,0.5601329207420349,167,0.8327186703681946,0.5726690888404846,correto
173,0.774386465549469,0.5603846907615662,172,0.823540985584259,0.5725844502449036,correto
171,0.7572256922721863,0.5603824853897095,173,0.8159588575363159,0.572546124458313,correto
171,0.742842435836792,0.5603079199790955,177,0.7969920635223389,0.5724520683288574,correto
172,0.718723475933075,0.5600875020027161,179,0.7706546783447266,0.5720151662826538,correto
174,0.6833487153053284,0.5592485070228577,178,0.7493924498558044,0.5719575881958008,correto
179,0.6587462425231934,0.5585588216781616,174,0.7189958691596985,0.5719069242477417,correto
166,0.624142050743103,0.5582689642906189,167,0.6890522837638855,0.5719639658927917,correto
161,0.5932720303535461,0.5573025345802307,167,0.6825246214866638,0.5719396471977234,correto
162,0.5626172423362732,0.5555041432380676,172,0.6647478342056274,0.5697326064109802,correto
163,0.5442352294921875,0.5537727475166321,173,0.6543983817100525,0.5663352608680725,correto
143,0.5190308094024658,0.5522240996360779,174,0.6336522698402405,0.5644235014915466,correto
133,0.4983349144458771,0.5503706336021423,174,0.6181809306144714,0.5620089769363403,correto
136,0.49215295910835266,0.5474149584770203,176,0.6096004843711853,0.5594125390052795,correto
119,0.4861587584018707,0.5454999208450317,179,0.6019386053085327,0.5567715764045715,correto
114,0.48350006341934204,0.5426025390625,179,0.5701915621757507,0.5546406507492065,correto
76,0.4794691801071167,0.5414180159568787,177,0.5585975646972656,0.5541146397590637,correto
82,0.47616544365882874,0.5406339764595032,155,0.5755828022956848,0.5534121990203857,correto
125,0.4772794842720032,0.5407096743583679,157,0.575704038143158,0.5532419681549072,correto
130,0.47978973388671875,0.5408681631088257,160,0.5749204158782959,0.5530324578285217,correto
130,0.4804188907146454,0.5410630106925964,161,0.5756967067718506,0.5529894232749939,correto
127,0.48136284947395325,0.5411897897720337,162,0.5761082768440247,0.5530762076377869,correto
112,0.48426586389541626,0.5412347316741943,165,0.575282871723175,0.5531851649284363,correto
92,0.4859970510005951,0.5415133833885193,166,0.574709951877594,0.5532071590423584,correto
87,0.48606953024864197,0.5418456196784973,167,0.5744175314903259,0.5533959865570068,correto
66,0.48748835921287537,0.542356550693512,169,0.5720884799957275,0.5536362528800964,correto
65,0.4873727262020111,0.5427900552749634,170,0.5702364444732666,0.5537587404251099,correto
71,0.4880771338939667,0.5433911085128784,175,0.5635153651237488,0.5540139079093933,correto
96,0.4970730245113373,0.5440864562988281,173,0.5663391351699829,0.5544334053993225,correto
143,0.5162938237190247,0.5455621480941772,179,0.5808228850364685,0.5544655323028564,correto
152,0.5303214192390442,0.5461943745613098,175,0.5847361087799072,0.5545291304588318,correto
138,0.5337638854980469,0.547674834728241,163,0.5879082083702087,0.5545533299446106,correto
145,0.5602694749832153,0.5499054193496704,164,0.6065446138381958,0.55488121509552,correto
157,0.6037599444389343,0.5526595711708069,173,0.6459402441978455,0.5563271045684814,correto
178,0.6656294465065002,0.5552170872688293,172,0.6595056653022766,0.5599167346954346,correto
178,0.6753140687942505,0.5551512241363525,165,0.6669572591781616,0.5618004202842712,correto
176,0.6987950801849365,0.555131733417511,168,0.6794482469558716,0.5633833408355713,correto
175,0.716190755367279,0.5554141402244568,169,0.6974973082542419,0.565059244632721,correto
172,0.7381736636161804,0.5564497709274292,179,0.7262245416641235,0.5662752985954285,correto
173,0.7483057975769043,0.5566095113754272,175,0.7490767240524292,0.5665669441223145,correto
171,0.761178731918335,0.5571955442428589,174,0.7627038955688477,0.5674788355827332,correto
172,0.7747460007667542,0.5587063431739807,173,0.78614342212677,0.5688657164573669,correto
